Date,Location,Dead,Injured,Total,Description
"November 16, 2018","Little Rock, Arkansas",3,1,4,"Police found a boy suffering from gunshot injuries, then discovered a car that had crashed into a ditch. Inside the car were three people who had all been shot and killed.[38]"
"November 16, 2018","Wheatland, Wisconsin",1,3,4,"Two people were shot inside a home, and two others were shot at a gas station. One of the victims later died of their injuries.[39]"
"November 14, 2018","Baton Rouge, Louisiana",3,1,4,Three people were killed and one person was injured in a shooting.[40]
"November 13, 2018","Indianapolis, Indiana",2[n 1],2,4,A man killed two people and wounded two others after shooting them during what police believe to be a drug robbery. One of the deceased men is suspected to have been the perpetrator.[41]
"November 13, 2018","Tsayatoh, New Mexico",4[n 1],1,5,A person killed three people and injured a fourth before killing themself in a residence in an apparent murder–suicide.[42]
"November 12, 2018","Dunn, North Carolina",3,1,4,A man killed three people and injured one in a shooting after a fight at a home. The shooter was arrested after crashing a vehicle he stole from the scene.[43]
"November 11, 2018","Globe, Arizona",3,3,5,Three people were killed and one injured when a man began firing at 5 individuals at a bar following a pool game. The suspect was arrested.[44]
"November 11, 2018","Robbins, Illinois",1,4[n 1],5,"Shooting of Jemel Roberson: A man re-entered a bar after being ejected and began to fire, wounding three people and becoming injured himself. Armed security guards apprehended the suspect. Responding officers saw one of the security guards with a gun, and shot and killed him.[45]"
"November 10, 2018","Memphis, Tennessee",2,4,6,Two people were killed and four people were wounded when they were shot after an argument over gambling.[46]
"November 7, 2018","Thousand Oaks, California",13[n 1],12,25,"Thousand Oaks shooting: A man entered a bar hosting a student line-dancing event and killed twelve people, including a police officer. At least twelve people were injured. The gunman then killed himself.[47]"
"November 3, 2018","Watertown, New York",0,5,5,Five people were wounded in a shooting outside of a nightclub. The suspect was taken into custody by police.[48]
"November 2, 2018","Long Beach, California",0,4,4,Four people were injured in a shooting inNorth Long Beach. Police suspect the incident was gang-related.[49]
"November 2, 2018","Tallahassee, Florida",3[n 1],5[n 2],8,"Tallahassee shooting: A gunman killed two women and injured five others; four by gunfire, one by being pistol-whipped, at a yoga studio before killing himself in a murder–suicide.[50]"
"November 1, 2018","Minneapolis, Minnesota",0,5,5,An argument evolved into a shooting that left five people wounded.[51]
"November 1, 2018","Springfield, Missouri",2,2,4,Two men were killed and two other people were wounded in a shooting at a home.[52]
"October 31, 2018","Detroit, Michigan",1,3,4,A fifteen-year-old boy was killed and three other people were wounded in a shooting at a home after a robbery.[53]
"October 30, 2018","Vallejo, California",2,3,5,Two people were killed and three others were wounded in a shooting.[54]
"October 30, 2018","Los Angeles, California",0,5,5,Five people were injured in a drive-by shooting inSouth Los Angeles.[55]
"October 29, 2018","Riverside, California",0,7,7,Seven people were wounded in a shooting following a fight at a nightclub.[56]
"October 28, 2018","El Dorado, Arkansas",2,2,4,Two people were killed and two were injured in a shooting at a home.[57]
"October 27, 2018","Pittsburgh, Pennsylvania",11,6,17,"Pittsburgh synagogue shooting: A man opened fire in the Tree of Life synagogue in an antisemitic attack, killing eleven people and injuring six others (including four police officers). The suspect was taken into custody by police.[58][59]"
"October 27, 2018","Memphis, Tennessee",0,5,5,Five people were wounded by several shooters at a high school Halloween party.[60]
"October 26, 2018","Jersey City, New Jersey",1,3,4,A seventeen-year-old was killed and three other people were wounded in a shooting.[61]
"October 24, 2018","Chicago, Illinois",0,5,5,Several gunmen wounded five people who were standing on a sidewalk.[62]
"October 22, 2018","Chicago, Illinois",0,6,6,"Six people were injured at a funeral service for Vantrease Criss, a rapper who was killed a week before.[63]"
"October 21, 2018","Jacksonville, Florida",0,6,6,Six people were injured in a drive-by shooting before an NFL game between theHouston Texans and theJacksonville Jaguars. Those injured were between the ages of 20 and 70.[64]
"October 21, 2018","Lakewood, Washington",1,3,4,One person was killed and three were wounded after three gunmen began shooting at a nightclub following an argument.[65]
"October 16, 2018","Atlanta, Georgia",0,4,4,Four people were injured in a drive-by shooting.[66]
"October 15, 2018","Columbia, Tennessee",5[n 1],0,5,A mother and four teenage children were found by an older brother in an apparent murder–suicide in which the mother is the reported perpetrator.[67]
"October 14, 2018","Fort Worth, Texas",0,4,4,Two children and two adults were injured in a drive-by shooting.[68]
"October 14, 2018","East Palo Alto, California",2,2,4,Two people were killed and two were injured in a shooting outside of a Halloween party.[69]
"October 14, 2018","North Las Vegas, Nevada",3,1,4,Three people were killed and one was wounded after someone arguing with them outside a shopping center shot them and fled.[70]
"October 13, 2018","St. Louis, Missouri",0,4,4,Four people were wounded near Glasgow Village when one or more people shot into a home.[71]
"October 13, 2018","Taft, Texas",4,1,5,"A dispute at a one-year-olds birthday party, resulted in four men killed and one wounded.[72]"
"October 12, 2018","Spartanburg, South Carolina",0,6,6,Six people were injured in a shooting at a fast food restaurant. One suspect was arrested and another turned himself in to police. A third person is also suspected of being involved.[73]
"October 12, 2018","Las Vegas, Nevada",0,4,4,Four people were wounded after being shot in central Las Vegas.[74]
"October 8, 2018","Birmingham, Alabama",0,4,4,Four people were injured when a person in a vehicle fired shots at them at an apartment complex.[75]
"October 6, 2018","Tulsa, Oklahoma",0,4,4,"A man fired into a crowd outside a bar during a fight, injuring four people. Another person fired a gun into the air to try to stop the fight, but did not injure anyone.[76]"
"October 6, 2018","Houston, Texas",1,3,4,"People began firing from a vehicle at people in a gas station parking lot, killing one person in a vehicle and wounding three others. The shooting is suspected to be gang-related.[77]"
"October 6, 2018","Oakland, California",0,6[n 1],6,"Two men began shooting during a dispute, injuring six people in total including each other. Both men were arrested.[78]"
"October 4, 2018","Espanola, New Mexico",1,3,4,"Several people began firing at teenagers in a car, killing one and wounding three. Police believe they were targeting people with whom they had been in a dispute on social media, and that the teenagers were mistakenly targeted. Seven suspects were arrested on various charges related to the shooting, including three people charged withfirst-degree murder.[79]"
"October 4, 2018","Swainsboro, Georgia",0,4,4,Four people were wounded when they were injured in a gang-related shooting.[80]
"October 3, 2018","Florence, South Carolina",2,6,8,"Florence, South Carolina shooting: Officers were shot at during a two-hour standoff while attempting to execute a search warrant in which the perpetrator held children hostage, killing two and wounding six before being arrested.[81]"
"October 3, 2018","Philadelphia, Pennsylvania",1,4,5,One person was killed and four others were injured in a drive-by shooting outside of a store.[82]
"October 1, 2018","Chicago, Illinois",2,2,4,"A man began firing a gun inside a vehicle, killing two passengers and wounding another passenger and the driver. He was arrested.[83]"
"September 24, 2018","Memphis, Tennessee",3,2,5,"A fight at an apartment complex, reportedly got out of control and three people were killed and two women wounded.[84]"
"September 21, 2018","Aberdeen, Maryland",4[n 1],3,7,"Aberdeen, Maryland Shooting: An employee of theRite AidDistribution facility killed three victims before wounding herself. The shooter died later in the hospital.[85]"
"September 20, 2018","Masontown, Pennsylvania",1[n 1],4,5,A gunman opened fire in a municipal building and wounded four people before being shot by officer who responded to the incident.[86]
"September 20, 2018","Middleton, Wisconsin",1[n 1],3,4,"A gunman opened fire at the WTS Paradigm software company and wounded three people. The gunman was injured in a shootout with the police, and later died in the hospital.[87]"
"September 17, 2018","Silver Spring, Maryland",4[n 1],1,5,"A father shot and killed his wife and two children, and injured his adult stepdaughter, before he committed suicide.[88]"
"September 13, 2018","Bakersfield, California",6[n 1],0,6,"A gunman opened fire at three locations after following a witness to another store and then to a private home. He killed two women and three men before carjacking a woman and child, and committing suicide when police approached.[89]"
"September 6, 2018","Cincinnati, Ohio",4[n 1],2,6,"Fifth Third Center Shooting: A gunman entered a loading dock at the Fifth Third Center skyscraper and opened fire before entering the lobby of a building. Four people, including the shooter, were killed and two were injured.[90]"
"September 2, 2018","San Bernardino, California",0,8,8,Eight people were wounded during a shooting at a dice game at an apartment complex.[91]
"September 1, 2018","Cleveland, Ohio",1,7,8,Eight people were shot at a nightclub. Police arrived and found a woman with a gunshot wound to the head at the back of the bar. She later died at a hospital.[92]
"August 27, 2018","Pine Bluff, Arkansas",1,3,4,"An unidentified individual fired from a vehicle on a group of people standing outside a home, killing one and injuring three.[93]"
"August 26, 2018","Jacksonville, Florida",3[n 1],11[n 3],14,"Jacksonville Landing Shooting: A gunman killed two people and wounded eleven more at a Madden NFL 19 competition before killing himself. The shooter was identified as David Katz, an individual who had reportedly been eliminated from the competition before the shooting.[94][95][96]"
"August 26, 2018","Wichita Falls, Texas",1,3,4,"One person was killed and three others were wounded inside a residence. Authorities took a man into custody in connection with the shooting. According to reports, the deceased victim was shot in the chest.[97][98]"
"August 25, 2018","Nashville, Tennessee",1,4,5,Two gunmen reportedly shot five people outside a residence. One victim was shot in the chest and later died atVanderbilt University Medical Center.[99]
"August 25, 2018","Richmond, Virginia",0,6[n 4],6,"Five people were shot and wounded during an armed robbery of Liquid Café. One other individual had an unspecified injury ""by other means"" than gunfire.[100][101]"
"August 23, 2018","Philadelphia, Pennsylvania",0,4,4,Four people were injured during a shooting in theOxford Circle neighborhood of Philadelphia.[102][103]
"August 22, 2018","St. Louis, Missouri",0,4,4,"A rapper's tour van ""came under fire"" onI-64after a concert at around 11:05 PM. Four people were injured. It's not clear if the rapper himself was shot.[104][105]"
"August 21, 2018","Memphis, Tennessee",0,6,6,"Six people were wounded by gunfire in a shooting outside of an apartment complex, following a large fight in the same location the previous day. One of the wounded men was arrested, but charges against him were later dropped.[106]"
"August 20, 2018","Jackson, Tennessee",1,4,5,Five people were injured in a shooting at a bar. One of the victims later died of his injuries.[107][108]
"August 20, 2018","Cleveland, Ohio",1,3,4,A fight over drugs resulted in one person being killed and three others being wounded.[109][110]
"August 19, 2018","Chicago, Illinois",0,5,5,Five were wounded in a shooting after a softball game in theGrand Crossing neighborhood of Chicago.[111]
"August 19, 2018","Detroit, Michigan",1,3,4,One person was killed and three others were wounded in a drive-by shooting at a family gathering.[112][113]
"August 18, 2018","Trenton, New Jersey",0,5[n 5],5,"Four people were wounded by gunfire following an event where school supplies were distributed to children. A fifth person, a child, received minor injuries after being struck by a dirt bike operated by one of the attackers.[114]"
"August 18, 2018","Bronx, New York",0,4,4,Four people were injured during gunfire during a drive-by shooting following a fight in a lounge.[115]
"August 17, 2018","Chicago, Illinois",0,7,7,Seven people were wounded in a shooting in the Englewood neighborhood of Chicago.[116]
"August 15, 2018","Greenwood, South Carolina",0,5,5,Five people were injured when they were shot during a backyard gathering to mourn the death of a family member who had died in a car accident earlier that month.[117]
"August 14, 2018","Wyncote, Pennsylvania",0,5,5,"After a dispute at a grocery store checkout line, a man pulled a handgun from his sister's waistband and wounded five people. The suspect was arrested.[118]"
"August 12, 2018","Clearlake, California",4[n 1],1,5,A father killed three of his children and wounded the fourth before killing himself.[119]
"August 12, 2018","Pittsburgh, Pennsylvania",0,4,4,A woman shot and injured four people in a street fight in theEast Liberty neighborhood of Pittsburgh. She later turned herself in to police.[120]
"August 11, 2018","Columbus, Ohio",0,4,4,Two adults and two children were wounded in a shooting at a party at a park in north Columbus.[121]
"August 11, 2018","San Francisco, California",1,4,5,One person was killed and four others were shot in an early-morning shooting in the Crocker-Amazon neighborhood of San Francisco.[122]
"August 11, 2018","Thornton, Colorado",1,3,4,"After being kicked out of a sports bar following several fights, a man returned with a gun and killed a bartender. Three others were wounded by gunfire. The shooter was taken into custody.[123]"
"August 10, 2018","Saint Louis, Missouri",0,4,4,A man wounded four people at a gas station after shooting at them from his truck. He was arrested by police.[124]
"August 10, 2018","Detroit, Michigan",0,4,4,Four people were wounded by a gunman who was later taken into custody.[125]
"August 8, 2018","Paterson, New Jersey",0,4,4,Four people were wounded by a gunman.[126]
"August 8, 2018","Philadelphia, Pennsylvania",2,4,6,Two people were killed and four were injured in a drive-by shooting in North Philadelphia.[127]
"August 5, 2018","Chicago, Illinois",1,4,5,One person was killed and four were injured in the Austin neighborhood of Chicago.[128]
"August 5, 2018","Chicago, Illinois",0,4,4,Four people were wounded at Humboldt Park when they were shot at by two people in a car.[129]
"August 5, 2018","Chicago, Illinois",0,4,4,Four people were wounded by gunfire at a house party.[130]
"August 5, 2018","Chicago, Illinois",0,8,8,Eight people were wounded when a group of men approached them in a courtyard and began shooting.[131]
"August 5, 2018","Chicago, Illinois",1,5,6,Two shooters killed one person and wounded five others when they began shooting at a group standing on a sidewalk.[132]
"August 4, 2018","Kansas City, Missouri",0,6,6,Six people were shot when a man pulled a handgun from his waistband during a fight. The suspect was taken into custody.[133]
"August 4, 2018","North Las Vegas, Nevada",0,6,6,Six people were injured during a shooting at a house party.[134]
"August 4, 2018","Chicago, Illinois",1,3,4,One person was killed and three were injured in the Austin neighborhood of Chicago.[135]
"August 4, 2018","Milwaukee, Wisconsin",0,4,4,Four people were injured when a gunman began shooting from a car at a group of people who were grilling and playing basketball in a park.[136]
"July 31, 2018","Gardena, California",2,3,5,"After becoming upset at a party, a man killed one person and wounded three others, including his girlfriend. He was driven from the scene by his friend and his friend's wife. He later shot and killed his friend, but his attempt to kill his friend's wife failed when his gun malfunctioned.[137]"
"July 30, 2018","Savannah, Georgia",0,4,4,Four people were injured when shots were fired during a dispute in a parking lot.[138]
"July 30, 2018","Chicago, Illinois",0,4,4,Four people were injured in a drive-by shooting.[139]
"July 29, 2018","York, Pennsylvania",0,4,4,Four people were injured in a shooting.[140]
"July 29, 2018","Phoenix, Arizona",1,4,5,One person was killed and four were injured in a shooting following a verbal altercation at an inn.[141]
"July 29, 2018","Lansing, Michigan",0,4,4,Four people were injured when they were shot after a fight broke out.[142]
"July 28, 2018","New Orleans, Louisiana",3,7,10,Two gunmen killed three people and injured seven others in a shooting at a daiquiri shop.[143]
"July 28, 2018","Los Angeles, California",2,4,6,Two people were killed and six were injured in a drive-by shooting by a liquor store.[144]
"July 27, 2018","Chicago, Illinois",0,4,4,Three children and an adult were injured in a shooting.[145]
"July 27, 2018","Robstown, Texas",5[n 1],0,5,"A man killed his father and stepmother, as well as their adopted son and his stepmother's son, before killing himself in a murder–suicide at a nursing home.[146]"
"July 26, 2018","Cleveland, Ohio",1,6,7,One person was killed and six were injured in a shootout involving multiple gunmen at a bar after the filming of a rap music video.[147]
"July 26, 2018","Oakland, California",2,2,4,"A gunman shot at a moving car, killing two occupants and injuring the other two.[148]"
"July 26, 2018","Dallas, Texas",0,6,6,Six people were injured in a drive-by shooting.[149]
"July 25, 2018","New Orleans, Louisiana",0,4,4,Four people were injured when a truck pulled up beside a car and one or more of its occupants began shooting. A suspect was arrested.[150]
"July 23, 2018","Chicago, Illinois",0,5,5,Five people were wounded when someone began firing at them while they stood on a sidewalk.[151]
"July 21, 2018","Baltimore, Maryland",0,4,4,Four people were wounded in a shooting.[152]
"July 21, 2018","Chicago, Illinois",2,5,7,Two people were killed and five injured when they were shot by four gunmen in a park.[153]
"July 20, 2018","Sunnyside, Washington",1,4,5,One person was killed and four were injured after a shooter opened fire into a backyard party.[154]
"July 20, 2018","Elizabeth, New Jersey",0,4,4,Four people were wounded when three gunmen began shooting at them at a restaurant.[155]
"July 18, 2018","Oklahoma City, Oklahoma",0,4,4,"Four people were wounded when shots were fired during a large fight in an apartment complex. Four people were arrested on other charges, but the shooter or shooters were not identified.[156]"
"July 16, 2018","Palm Beach Gardens, Florida",2,4,6,Two people were killed and four others were injured when a gunman began shooting at them while they were standing in a yard.[157]
"July 16, 2018","Philadelphia, Pennsylvania",1,4,5,Two gunmen killed one person and injured four others.[158]
"July 16, 2018","Washington, District of Columbia",1,4,5,"Masked men drove up in a car and began shooting into a crowd, killing a ten-year-old girl and injuring three others.[159]Three people were arrested in relation to the shooting.[160]"
"July 15, 2018","Denver, Colorado",0,4,4,Four people were wounded during a shooting following a fight at a party.[161]
"July 15, 2018","Chattanooga, Tennessee",0,5,5,Five people were injured when a shooter fired into a group of people gathered in a parking lot outside a club.[162]
"July 14, 2018","Fort Washington, Maryland",0,4,4,Four people were injured in a shooting.[163]
"July 13, 2018","Richmond, Virginia",1,3,4,One person was killed and three people were wounded in a shooting outside a nightclub inScott's Addition.[164]
"July 12, 2018","Memphis, Tennessee",0,5,5,Five people were wounded in a shooting near a community center. Police believe the shooting was spurred by an earlier fight over a dice game.[165]
"July 11, 2018","Houston, Texas",0,4,4,Four people were injured in a drive-by shooting while they were inside their car at restaurant.[166]
"July 11, 2018","Reddick, Florida",0,4,4,"Gunmen injured four people—two inside a mobile home, and two in separate vehicles outside of the home.[167]"
"July 9, 2018","Prices Corner, Delaware",5,0,5,A man killed his wife and three children in their home before killing himself in a murder–suicide.[168][169]
"July 9, 2018","Orlando, Florida",1,4,5,"Following a fight, a man was killed and four other people were injured by gunshots. Two people were arrested.[170]"
"July 8, 2018","Lowndes County, Alabama",0,6[n 1],6,"Six people, including a suspect, were wounded during a shooting at a bar.[171]"
"July 8, 2018","Memphis, Tennessee",0,4,4,Four people were injured in a shooting.[172]
"July 7, 2018","Wetumpka, Alabama",3,2,5,A man killed his wife and one of his children and wounded his other two children before setting the house on fire and killing himself in a murder–suicide.[173]
"July 5, 2018","Brooklyn, New York",0,4,4,Four people were injured when they were shot at while standing outside.[174]
"July 5, 2018","Albany, New York",0,4,4,Four people were injured in a shooting.[175]
"July 5, 2018","Los Angeles, California",3,3,6,Three people were killed and three others were wounded during aFourth of July party. Police believe the shooting was gang-related.[176]
"July 5, 2018","Virginia Beach, Virginia",0,6,6,Six people were injured while walking down the street. A suspect was taken into custody.[177]
"July 5, 2018","Lima, Ohio",1,5,6,One person was killed and five were injured in a shooting at a Fourth of July party.[178]
"July 4, 2018","Gary, Indiana",1,3,4,One person was killed and three were wounded.[179]
"July 4, 2018","Atlanta, Georgia",1,3,4,"After a bar fight spilled into a parking lot, shots were fired, killing one person and wounding three others.[180]"
"July 3, 2018","Saint Louis, Missouri",1,5,6,One person was killed and five others were wounded in a drive-by shooting.[181]
"July 3, 2018","Washington, District of Columbia",0,4,4,Four people were injured in a shooting.[182]
"July 2, 2018","Buffalo, New York",2,2,4,"A woman and a 17-month-old child were killed in a shooting that injured two others. One person was taken into custody, although police suspect others were involved. Police believe the shooting was gang-related.[183]"
"July 1, 2018","Chicago, Illinois",0,6,6,"Six people were injured when a gunman opened fire on three people on a sidewalk. In addition to the three people on the sidewalk, three children in a car were wounded.[184]"
"June 30, 2018","Ashburn, Georgia",1,6,7,"Several shooters fired into a crowd that was fleeing a nightclub, killing one person and injuring six. Police arrested one suspect, and believe the shooting was gang-related.[185]"
"June 30, 2018","Baltimore, Maryland",0,6,6,Six people were injured at a barbecue when an unknown person walked into the yard and began firing.[186]
"June 30, 2018","Jersey City, New Jersey",0,5,5,Five people were injured when several people began exchanging gunfire. One suspect was arrested.[187]
"June 28, 2018","Annapolis, Maryland",5,2,7,Capital Gazette shooting: A gunman entered the offices ofThe Capital Gazette and killed five employees and wounded two others.[188][189]
"June 27, 2018","Oakland, California",1,3,4,One person was killed and three were injured when at least one person began shooting at them outside a mini-mart.[190]
"June 27, 2018","San Antonio, Texas",0,4,4,"During an argument between neighbors, two people drew weapons and wounded four people. One suspect was arrested.[191]"
"June 27, 2018","Hartford, Connecticut",0,4,4,Four victims were injured in a drive-by shooting outside a bodega.[192]
"June 25, 2018","Chicago, Illinois",0,6,6,Six people were injured when a gunman began firing upon them as they stood near a park.[193]
"June 24, 2018","Sanford, North Carolina",1,6[n 1],7,One person was killed and six were injured during a fight at a birthday party. One of the wounded was arrested.[194]
"June 24, 2018","Punta Gorda, Florida",0,4,4,Four people were wounded when an uninvited guest at a birthday party at an event center began shooting.[195]
"June 24, 2018","Indiantown, Florida",0,4,4,Four people were injured in a shooting at a block party.[196]
"June 24, 2018","Palm Beach Gardens, Florida",1,3,4,One person was killed and three were injured in a shooting.[197]Six teenage suspects were arrested in relation to the shooting after leading police on a car chase.[198]
"June 24, 2018","Gary, Indiana",1,3,4,One person was killed and three were wounded in a shooting.[199]
"June 24, 2018","Sandusky, Ohio",0,5,5,"After several fights inside a bar led the bar owner to close for the night, the fights continued outside before escalating to a shooting in which five people were wounded.[200]"
"June 23, 2018","Wichita, Kansas",0,4,4,Four people were injured in a gang-related shooting.[201]
"June 23, 2018","Chicago, Illinois",1,4,5,One person was killed and four others were injured after being shot at from a vehicle.[202]
"June 23, 2018","Covington, Tennessee",0,4,4,Four people were injured in a shooting.[203]
"June 22, 2018","Homestead, Pennsylvania",1,3,4,One person was killed and three were injured when their car was shot at from another car.[204]
"June 21, 2018","San Bernardino, California",1,3,4,One person was killed and three were wounded in a fight that progressed to a shooting outside of a liquor store.[205]
"June 21, 2018","Morganza, Louisiana",0,4,4,Four people were wounded in a shooting.[206]
"June 21, 2018","Chicago, Illinois",0,4,4,Four people were wounded in a shooting.[207]
"June 20, 2018","Modesto, California",0,5,5,Five people were injured when someone drew a gun and began shooting during a fight.[208]
"June 19, 2018","Huntsville, Alabama",0,4,4,A man returned after an argument and wounded four people. He was later taken into custody.[209]
"June 18, 2018","Lakeside, Oklahoma",1,2,3,Two people were wounded at a Louie's restaurant. The gunman was killed.
"June 18, 2018","Chicago, Illinois",2,3,5,Two people were killed and three people were injured in a shooting after a fight at a party.[210]
"June 18, 2018","Bloomington, Illinois",3,1,4,Three people were killed and a four-year-old child was wounded in a shooting.[211]
"June 17, 2018","Charlotte, North Carolina",0,4,4,Four people were injured in a shooting at a gas station.[212]
"June 17, 2018","Trenton, New Jersey",1[n 1],22[n 6],23,Art All Night shooting: Multiple gunmen wounded 17 people at the Art All Night festival. Five others were wounded when they were trampled by people around them. One of the suspected gunmen was shot and killed by police. Police suspect the shooting was gang-related.[213]
"June 17, 2018","Macon, Georgia",1,3,4,A teenager was killed and three other people were injured in a drive-by shooting during a cookout. A 15-year-old was later charged with the killing.[214]
"June 17, 2018","Chicago, Illinois",0,4,4,A gunman walked up to and wounded four people standing on the street.[215]
"June 14, 2018","Philadelphia, Pennsylvania",0,4,4,Four people were injured in a shooting.[216]
"June 14, 2018","Union City, California",0,5,5,Five people were injured in a shooting that took place in a cemetery.[217]
"June 14, 2018","Tracy, California",1,4,5,A fight turned into a shooting that resulted in a 15-year-old being killed and four other people being injured.[218]
"June 14, 2018","Buffalo, New York",1,4,5,One person was killed and four were wounded in a drive-by shooting.[219]
"June 14, 2018","Westminster, Colorado",1,3,4,"A 13-year-old boy was killed, and his mother, 8-year old brother, and a bystander were wounded in a road rage incident after the shooter followed them to the parking lot of a dentist's office. The shooter was arrested.[220]"
"June 12, 2018","Bronx, New York",0,4,4,Four people were injured in a shooting.[221]
"June 11, 2018","Montgomery, Alabama",0,4,4,Four people were injured in a shooting after a verbal altercation. Three suspects were arrested.[222]
"June 11, 2018","Orlando, Florida",5[n 1],1,6,"After barricading himself and his four children in a home for nearly 24 hours, a man shot and wounded a police officer before killing the four children and himself.[223]"
"June 10, 2018","Bradenton, Florida",1,5,6,One person was killed and five others were injured after a fight in a bar moved outside and a member of one of the groups began shooting.[224]
"June 10, 2018","Valley Village, California",0,6,6,Six people were injured by gunfire at a birthday party.[225]
"June 10, 2018","Indianapolis, Indiana",1,4,5,A 14-year-old boy was killed and four other people were wounded at a party. A 14-year-old boy was arrested in connection to the shooting.[226]
"June 10, 2018","Aurora, Illinois",0,7,7,"Seven people were injured after gunfire broke out at a party. Several men arrived at the home and began to shoot, and an attendee at the party shot back. The police believe the incident was gang-related.[227]"
"June 10, 2018","Bloomington, Illinois",2,2,4,Two people were killed and two others were wounded after a shooting at a birthday party. The suspect was later taken into custody.[228]
"June 10, 2018","Chicago, Illinois",1,5,6,One person was killed and five others were injured in a drive-by shooting.[229]
"June 9, 2018","Boston, Massachusetts",0,4,4,Four people were injured in a shooting at a house party.[230]
"June 9, 2018","Kannapolis, North Carolina",0,4,4,Four people were wounded after a gunman began shooting outside a high school graduation party.[231]
"June 9, 2018","Philadelphia, Pennsylvania",1,4,5,Four or five gunmen killed one person and injured four others.[232]
"June 5, 2018","Jacksonville, Florida",3,1,4,Three men was killed and a fourth was injured after a car pulled up alongside theirs and the occupant began shooting.[233]
"June 3, 2018","Dallas, Texas",0,5,5,"After an argument at a football game, a man drove a moped into the middle of the field and began to fire a gun. Multiple people then began firing at the shooter. Five people were injured in the exchange of gunshots.[234]"
"June 3, 2018","Chicago, Illinois",1,3,4,One person was killed and three others were wounded by two gunmen in a drive-by shooting.[235]
"June 2, 2018","Omaha, Nebraska",1,6,7,One person was killed and six others were injured in a shooting. A suspect was taken into custody.[236]
"June 2, 2018","Buffalo, New York",0,5,5,Five people were injured in a shooting at an outdoor gathering.[237]
