Date,Location,Dead,Injured,Total,Description
"December 31, 2018","Cleveland, Ohio",3,2,5,A dispute began at a rented Airbnb during a New Year's Eve party. Three men were killed and another man and woman were wounded.[11]
"December 29, 2018","Lima, Ohio",1,3,4,One person was killed and three people were wounded in a shooting at an after hours club.[12]
"December 28, 2018","St. Charles, Missouri",4,1[n 1],6,"A gunman shot and killed his girlfriend, her two children, and her mother. He was arrested after exchanging fire with police and attempting to carjack a vehicle.[13]"
"December 24, 2018","Lutcher, Louisiana",2,2,4,Three people were killed and two others were wounded in a shooting outside of a bar.[14]
"December 23, 2018","Springfield, Missouri",0,7,7,Seven people were wounded during a shooting at a holiday party.[15]
"December 22, 2018","Las Vegas, Nevada",0,4,4,Four people were wounded during a shooting at a holiday party.[16]
"December 18, 2018","Baltimore, Maryland",0,5,5,Five people were injured in a shooting outside a deli.[17]
"December 15, 2018","Miami, Florida",0,5,5,Five people were wounded in a shooting.[18]
"December 14, 2018","Colorado Springs, Colorado",1,3,4,One person was killed and three others were injured in a shooting near the Colorado Springs Airport.[19]
"December 13, 2018","Philadelphia, Pennsylvania",0,4,4,Four men were injured in a shooting that occurred inside a barbershop. The suspect evaded police but the weapon was recovered.[20]
"December 11, 2018","Natachitoches, Louisiana",1,3,4,One person was killed and three others were wounded in a shooting just before midnight.[21]
"December 9, 2018","Madison, Wisconsin",0,4,4,Four people were injured by gunfire inside a strip club following a fight. One additional person was stabbed.[22]
"December 9, 2018","Laurinburg, North Carolina",1,3,4,One person was killed and three others were wounded in a shooting.[23]
"December 8, 2018","New York City, New York",0,5,5,Five people were wounded outside of a nightclub in Queens after a dispute inside the club.[24]
"December 1, 2018","Miami, Florida",0,5,5,Five people were wounded in a shooting in the Overtown neighborhood of Miami.[25]
"November 26, 2018","Powell, Tennessee",0,4,4,Four people were wounded in a shooting. Two suspects were taken into custody by police.[26]
"November 25, 2018","Houston, Texas",1,6,7,"A thirteen-year-old boy was killed and six other people were injured in a shooting at a block party. At least two shooters were involved, and police believe it may have been gang-related.[27]"
"November 25, 2018","Demopolis, Alabama",2,2,4,Two people were killed and two others were wounded in a shooting at an intersection.[28]
"November 25, 2018","Oakland, California",0,4,4,Four people were wounded in a drive-by shooting while attending a vigil for a resident of their area who had died of natural causes.[29]
"November 24, 2018","Orlando, Florida",2,2,4,Two people were killed and two others were wounded in a shooting outside a pizza shop. A suspect was taken into custody by police.[30]
"November 23, 2018","Miami, Florida",2,2,4,"Two people were killed and five others were wounded in a shooting outside of a convenience store. Two of the injured were hit with bullets, the other three were injured in other ways.[31]"
"November 22, 2018","Fort Wayne, Indiana",3,2,5,"Three people were killed and two others were injured in a home invasion shooting. One person was arrested the next day, and police suspect another person was involved.[32]"
"November 21, 2018","St. Louis, Missouri",0,4,4,Four people were injured in a shooting in the Penrose neighborhood of St. Louis.[33]
"November 19, 2018","Denver, Colorado",1,3,4,One person was killed and three others were injured in a shooting in the LoDo neighborhood.[34]
"November 19, 2018","Philadelphia, Pennsylvania",4,0,4,Four people were discovered shot execution style in the head in a basement of a home.[35]
"November 19, 2018","Chicago, Illinois",4[n 1],0,4,"Mercy Hospital shooting: A gunman opened fire in theMercy Hospital and Medical Center in Chicago, killing a doctor at the hospital who was his former fiancee, a police officer, and one other person before being killed either by himself or by police.[36]"
"November 18, 2018","Los Angeles, California",1,3[n 1],4,"A man killed his girlfriend and wounded his uncle and grandmother in a shooting in Watts, Los Angeles. The shooter was also injured, either during a confrontation with police or by a self-inflicted gunshot.[37]"
