Date,Location,Dead,Injured,Total,Description
"July 15, 2019","Atlanta, Georgia",0,4,4,Four people were wounded in a shooting after a potential drug deal turns deadly.[87]
"July 15, 2019","Baltimore, Maryland",2[n 1],2,4,"A man attempted to use a gun to demand methadone, then killed one and wounded two before being killed by police in a shootout.[88]"
"July 16, 2019","San Antonio, Texas",0,4,4,"A man opened fire on his co-workers at a moving company, injuring four, after a disagreement escalated. The suspect was later arrested.[85]"
"July 17, 2019","Lubbock, Texas",1,3,4,Five men in a vehicle were targeted by a shooter who killed one and injured three others.[84]
"July 18, 2019","Chicago, Illinois",1,3,4,One woman was killed and three people were injured on a porch at a home inGarfield Parkin Chicago'sWest Side.[83]
"July 20, 2019","Jersey City, New Jersey",0,6,6,Six people were wounded in an overnight shooting.[80]
"July 20, 2019","Clairton, Pennsylvania",0,4,4,"Four teenagers—between the ages of 14-18, were wounded in a shooting at a graduation party.[81]"
"July 20, 2019","Chicago, Illinois",0,7,7,"Seven people were wounded in a shooting inLincoln Park, after an argument between two groups escalated.[82]"
"July 21, 2019","Chicago, Illinois",0,4,4,"A gunman opened fire on a group of people, wounding four, as they congregated outside of a gas station.[78]"
"July 21, 2019","Washington DC, District of Columbia",0,4,4,"Four people were injured in a shooting, which was captured by surveillance video.[79]"
"July 23, 2019","Pembroke Park, Florida",2,2,4,Two men were killed and two others were wounded after an argument between a group escalated into a shooting.[77]
"July 25, 2019","Albemarle, North Carolina",3,1,4,"Officers responded to a call at a residence and discovered three deceased victims, and one wounded male, resulting from a double murder–suicide.[74]"
"July 25, 2019","Los Angeles, California",4,2,6,"A man killed four people, including his father and brother, and wounded two more at a total of four different crime scenes across theSan Fernando Valley.[75][76]"
"July 27, 2019","Wichita, Kansas",1,3,4,One man was killed and three were injured after an altercation at an apartment complex. The suspect was later arrested.[72]
"July 27, 2019","Brooklyn, New York",1,12,13,"Thirteen people were shot, one fatally, at a playground inBrownsville.[73]"
"July 28, 2019","Chippewa Falls, Wisconsin",5[n 1],2,7,"A gunman shot six people, four fatally, before killing himself.[66]"
"July 28, 2019","Gilroy, California",4[n 1],12,16,"Gilroy Garlic Festival shooting: Sixteen people were shot, four fatally, including a gunman and two children, at the Gilroy Garlic Festival.[67]"
"July 28, 2019","Uniontown, Pennsylvania",0,4,4,Four people were wounded on two separate streets in connection with a large party.[68]
"July 28, 2019","Philadelphia, Pennsylvania",1,5,6,One man was killed and five were injured by an unknown perpetrator as the victims were preparing to shoot a rap video.[69]
"July 28, 2019","Chicago, Illinois",0,4,4,One woman and three men were wounded in a drive-by shooting outside of a Lawndalegas station.[70]
"July 28, 2019","Washington DC, District of Columbia",0,4,4,Four people were shot and injured while standing outside of a bar/nightclub.[71]
"July 30, 2019","Southaven, Mississippi",2,2[n 1],4,"At a Walmart store, a man killed two people then wounded a police officer before being shot by police and arrested.[62]"
"July 30, 2019","Haskell, Oklahoma",0,4,4,"During an attempted home invasion, shots were fired and four people were wounded.[63]"
"July 30, 2019","Rosenberg, Texas",3[n 1],1,4,"A man shot and killed his ex-girlfriends parents, and wounded her, before committing suicide in a murder–suicide.[64]"
"July 30, 2019","Columbus, Ohio",0,5,5,Five people were shot at a party at a home rented through Airbnb.[65]
"July 31, 2019","Elkhart, Indiana",3[n 1],1,4,"Police responding to shots fired at a senior living complex discovered a wounded woman, and two males and a woman deceased. It is believed one of the deceased males was the shooter.[61]"
"August 2, 2019","Pomfret, Maryland",3[n 1],1,4,"A man shot and killed his in-laws, and wounded an 11-year-old boy sitting in a relative's car before committing suicide.[59]"
"August 2, 2019","Suffolk, Virginia",2,3,5,"Two men were killed, and two women and a two-year-old were wounded at multiple crime scenes.[60]"
"August 3, 2019","El Paso, Texas",22,24,46,2019 El Paso shooting: 22 people were killed and 24 were injured at a Walmart near the Cielo Vista Mallin a Hispanophobic massacre.[57]The perpetrator was taken into custody.[58]
"August 4, 2019","Memphis, Tennessee",1,3,4,One man was killed and three others were injured in an early morning shooting.[52]
"August 4, 2019","Grenada, Mississippi",0,4,4,Four people were discovered wounded in an overnight shooting.[53]
"August 4, 2019","Chicago, Illinois",1,7,8,One person was killed and seven others were injured in a shooting in the Lawndale community.[54]
"August 4, 2019","Chicago, Illinois",0,7,7,Seven people were wounded in a drive-by shooting nearDouglas Park.[55]
"August 4, 2019","Dayton, Ohio",10[n 1],27,37,"2019 Dayton shooting: A gunman killed nine people and injured twenty-seven outside of a bar after he was denied entry, before being killed by police.[56]"
"August 5, 2019","San Antonio,Texas",4[n 1],0,4,"A man killed his uncle, grandmother and mother before he set the house on fire and committed suicide in a triple murder–suicide.[49]"
"August 5, 2019","Suitland, Maryland",1,3,4,One person was killed and three were wounded after a large fight broke out following a funeral service.[50]
"August 5, 2019","Brooklyn,New York",0,4,4,Four people were injured in a shooting during a candlelight vigil inCrown Heights.[51]
"August 6, 2019","Stone Mountain, Georgia",4[n 1],0,4,"A man killed two women and a man, before killing himself in a triple murder–suicide.[47]"
"August 6, 2019","Detroit,Michigan",0,4,4,Four people were shot and injured after a dispute.[48]
"August 7, 2019","St. Louis,Missouri",2,2,4,Two people were killed and two were injured in a shooting that also involved a motor vehicle crash.[46]
"August 8, 2019","Irvington, New Jersey",1,3,4,A gunman wearing body armor killed another man and wounded three responding police officers before being arrested.[45]
"August 9, 2019","Houston,Texas",0,4,4,Four men were injured during a shoot-out at a convenience store.[43]
"August 9, 2019","Chicago,Illinois",0,4,4,Four people were injured in a drive-by shooting inMarquette Park.[44]
"August 10, 2019","San Francisco,California",0,4,4,Four people were injured in an overnight shooting in the parking lot of a McDonald's restaurant.[41]
"August 10, 2019","Richmond, Virginia",0,4,4,Four people were injured in a shooting.[42]
"August 11, 2019","Chicago,Illinois",0,6,6,Six people were injured when they were shot by a gunman in a car in Garfield Park.[40]
"August 12, 2019","Riverside, California",2[n 1],2,4,A police officer was killed and two were wounded after a suspect opened fire during a traffic stop. The suspect was killed by police.[38]
"August 12, 2019","Hickory, North Carolina",3[n 1],1,4,"A man shot and killed his estranged wife and a man, then wounded another man before committing suicide.[39]"
"August 13, 2019","Tacoma, Washington",2,3,5,Police responded to calls of shots fired and found a deceased male and three women wounded. One died at the hospital from their injuries.[36]
"August 13, 2019","Greenwood, Mississippi",0,4,4,Four people were wounded in a shooting.[37]
"August 14, 2019","New Manchester, West Virginia",1,5[n 1][n 2],6,A man killed his girlfriend and injured five others and a dog before being wounded by police and arrested.[34]
"August 14, 2019","Philadelphia,Pennsylvania",0,6,6,Six Philadelphia Police officers were shot during an eight-hour standoff while attempting to serve a drug warrant.[35]
"August 15, 2019","Philadelphia,Pennsylvania",0,5,5,Four men and a teenage boy were wounded.[32]
"August 15, 2019","Montgomery, Alabama",2,3,5,Two people were killed and three wounded in a shooting near Alabama State University.[33]
"August 17, 2019","Houston,Texas",0,7,7,Seven people were injured in a shooting at a party.[29]
"August 17, 2019","Kansas City, Missouri",0,4,4,Police responded to a shooting call and discovered four people wounded.[30]
"August 17, 2019","Newport News, Virginia",1,3[n 1],4,"A woman was killed, and responding officers engaged with the suspect causing an officer, bystander and the suspect to be wounded.[31]"
"August 18, 2019","Kansas City, Missouri",0,4,4,Four teenagers were wounded after an argument escalated during a gathering in a hotel room.[28]
"August 20, 2019","Atlanta,Georgia",0,4,4,Four female students from Clark Atlanta University and Spelman College were wounded during a block party.[27]
"August 22, 2019","Columbia, South Carolina",2,2,4,"A man opened fire on patrons at a bar, killing two and wounding two others, after being kicked out.[25]"
"August 22, 2019","Los Angeles,California",0,4,4,"Four people, including a social worker and a security guard were wounded in the Skid Row district.[26]"
"August 23, 2019","St. Louis,Missouri",1,3,4,An eight-year-old girl was killed and three others were wounded in a shooting near Soldan High School.[23]
"August 23, 2019","Houston,Texas",2,2,4,Two men were killed and a man and woman were injured in a drive-by shooting.[24]
"August 24, 2019","Lynn, Massachusetts",1,3,4,A man was killed and three were injured while attending a basketball tournament.[20]
"August 24, 2019","Coconut Creek, Florida",2,3,5,"Two people were killed and three were injured, including a police officer, in a shooting. A suspect was apprehended.[21]"
"August 24, 2019","Temple Hills, Maryland",0,7,7,Seven people were wounded at a two-year-old's birthday party after a fight escalated.[22]
"August 25, 2019","Chicago,Illinois",1,3,4,A 17-year-old boy was killed and three adults were wounded after a large group was fired upon.[18]
"August 25, 2019","Hobbs, New Mexico",3,4,7,Police responded to a party due to a shots fired call and found three dead and four wounded.[19]
"August 26, 2019","Pembroke Pines, Florida",4[n 1],0,4,"A man killed his wife, mother-in-law, and one of his 3-year-old twin daughters before committing suicide.[17]"
"August 29, 2019","Baltimore,Maryland",1,3,4,"A 16-year-old boy was killed, while two teen boys—a 14-year-old and 15-year-old, and an adult woman were injured.[16]"
"August 30, 2019","Mobile, Alabama",0,10,10,"Ten people, ranging in age from 15-18, were injured at a high school football game after a fight escalated.[14]"
"August 30, 2019","Baltimore,Maryland",1,3,4,A woman was killed and three others were injured in a possible retaliation to a previous stabbing.[15]
"August 31, 2019","Odessa and Midland, Texas",6[n 1],21,27,2019 West Texas shooting: At least five people were killed and twenty-one were wounded in a series of mass shootings that took place in Midland and Odessa.[11]
"August 31, 2019","Charlotte, North Carolina",1,3,4,A man was killed and three others were injured at a University of North Carolina at Charlotte off-campus apartment complex.[12]
"August 31, 2019","Frederick, Maryland",0,4,4,Four people were injured after an argument escalated.[13]
