Date,Location,Dead,Injured,Total,Description
"February 21, 2019","Houston, Texas",2,2,4,A gunman perched on the roof of a home killed two and wounded two after an argument led to the incident.[269]
"February 22, 2019","Birmingham, Alabama",2,2,4,Two people were killed and two were injured in a shooting at a party in a home.[266]
"February 28, 2019","Oakland, California",1,4,5,One person was killed and four others were wounded in a shooting near a gas station.[265]
"March 2, 2019","Pine Bluff, Arkansas",1,4,5,One person was killed and four other were wounded at a party when shots were fired into a home.[264]
"March 3, 2019","Oakland, California",0,4,4,Four people were injured in a shooting at a sports bar following a fight.[262]
"March 3, 2019","Chicago, Illinois",0,6,6,Six people were injured in a shooting at a bar following a fight.[263]
"March 10, 2019","Denver, Colorado",1,4,5,"A conflict between two individuals escalated into a shooting; one man was killed, and four others were injured.[260]"
"March 10, 2019","Shreveport, Louisiana",0,4,4,Three children and one adult were wounded in a drive-by shooting.[261]
"March 11, 2019","Paterson, New Jersey",0,4,4,Four men were wounded in a shooting inside of a local liquor store.[259]
"March 13, 2019","Harvey, Illinois",1,3,4,One person was killed and three were wounded after gunfire erupted in a nightclub.[258]
"March 14, 2019","Missoula, Montana",1,3,4,"One person was fatally shot and three others were wounded, including aMontana Highway Patrol trooper following a road rage incident.[257]"
"March 15, 2019","Mobile, Alabama",2,3,5,Two men were killed and three others were wounded in an overnight shooting behind a home. The suspect was arrested the next day.[256]
"March 16, 2019","Camden, New Jersey",1,3,4,"One man was killed and three others were wounded following a shooting at a ""residential speakeasy"".[255]"
"March 17, 2019","Augusta, Georgia",0,4,4,"Four people were wounded after an argument, although the shooter claims that it was in self-defense to being randomly attacked.[252]"
"March 17, 2019","Las Vegas, Nevada",0,4,4,Four people were wounded at theEl Cortez Hotel and Casino in an early morning shooting. The suspect was later arrested.[253]
"March 17, 2019","Rochelle, Georgia",1,3,4,"In the early morning, two groups were involved in a dispute, which ended with one person killed and three people wounded.[254]"
"March 19, 2019","Phoenix, Arizona",2,4,6,An argument at a house party ended in a shooting when the perpetrator returned to the party and killed two and wounded four before fleeing.[251]
"March 24, 2019","San Francisco, California",1,5,6,A shooting occurred near the Fillmore Heritage Center around 8:40pm local time; one person was killed and five others were injured.[249]
"March 24, 2019","Phoenix, Arizona",0,7,7,"During a warehouse party, a fight broke out and escalated into a shooting; seven people were wounded.[250]"
"March 25, 2019","North Las Vegas, Nevada",0,5,5,An after-school fight led to a shooting in a neighborhood; five teenagers were wounded.[248]
"March 28, 2019","Baltimore, Maryland",0,4,4,Four people were wounded in a shooting near a playground.[247]
"March 31, 2019","Chicago, Illinois",1,4,5,One person was killed and four people were wounded in a shooting inEast Garfield Park.[244]
"March 31, 2019","Atlanta, Georgia",1,4,5,One person was killed and four were wounded during a house party.[245]
"March 31, 2019","North Charleston, South Carolina",0,7,7,Seven people were wounded in a shooting at an overnight house party.[246]
"April 2, 2019","Hermanville, Mississippi",0,4,4,A man shot four people in a drive-by shooting outside of a convenience store.[242]
"April 2, 2019","Covington, Kentucky",0,5,5,Five people were wounded in a drive-by shooting at an intersection.[243]
"April 4, 2019","Panama City, Florida",1,3,4,One person was killed and three were found with gunshot injuries in Panama City.[240]
"April 4, 2019","Stockbridge, Georgia",3,2,5,Two officers responding to a suspected hostage situation were wounded and three individuals were later found deceased in a murder–suicide.[241]
"April 6, 2019","Chicago, Illinois",0,6,6,At least six people were injured in a shooting at a baby shower.[238]
"April 6, 2019","Tallahassee, Florida",0,4,4,Four Florida A&M University students were injured in a shooting following an argument at a house party.[239]
"April 7, 2019","Shreveport, Louisiana",0,4,4,Four people were wounded in a shooting at a mobile home park.[234]
"April 7, 2019","Indianapolis, Indiana",2,3,5,Two people were killed and three were wounded in a shooting at a motorcycle club hangout.[235]
"April 7, 2019","Winston-Salem, North Carolina",0,6,6,Six people were wounded in a shooting outside of a local bar.[236]
"April 7, 2019","Wilmington, Delaware",0,6,6,Six young men were wounded in a shooting in the city's East Side district.[237]
"April 9, 2019","Kansas City, Missouri",0,4,4,Police found four people with gunshot wounds in front of a residence.[233]
"April 11, 2019","Phoenix, Arizona",3,2,5,"A man killed his wife, two of his daughters, and another man, and injured two people who came to try to help one of the victims. All of the victims were shot, with the exception of one of his daughters who was killed byblunt force trauma.[230]"
"April 11, 2019","Los Angeles, California",1,4,5,One person was killed and four were wounded when suspects fired at them from a car in the Watts neighborhood of Los Angeles.[231]
"April 11, 2019","Baltimore, Maryland",0,4,4,Four men were wounded in a shooting nearDruid Hill Park.[232]
"April 12, 2019","Carbondale, Illinois",0,4,4,Four people were injured in a shooting outside of a restaurant and bar.[229]
"April 14, 2019","Stockton, California",0,4,4,"A man opened fire inside of a bar following a disturbance, wounding four patrons.[226]"
"April 14, 2019","Vallejo, California",1,3,4,One man was killed and three were injured in an early morning shooting.[227]
"April 14, 2019","Miami, Florida",2,2,4,Two women were killed and another man and woman were wounded in a drive-by shooting outside of Miami's Liberty City neighborhood.[228]
"April 16, 2019","Germantown, Maryland",1,3,4,A drive-by shooting killed an 18-year-old male and wounded three other men in a cul-de-sac.[225]
"April 18, 2019","Louisville, Kentucky",0,4,4,Four people in a vehicle were wounded when they were shot at by at least one person in another car.[224]
"April 19, 2019","Wichita, Kansas",0,4,4,"Two suspects fired multiple shots at people attending a party, injuring four.[223]"
"April 20, 2019","Memphis, Tennessee",0,7,7,Seven people were wounded in a shooting that police believe occurred after a large fight.[221]
"April 20, 2019","Corpus Christi, Texas",0,4,4,A disturbance in a neighborhood escalated into a shooting; four men were wounded.[222]
